"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"1","ADAMS",2020-01-22,0.091706943855455,0.0046081857730223,154
"2","ALLEN",2020-01-22,0.089442545909153,0.0023129085263394,642
"3","ASHLAND",2020-01-22,0.1050806934008,0.0032810671042998,308
"4","ASHTABULA",2020-01-22,0.07987155709595,0.0019528981806672,651
"5","ATHENS",2020-01-22,0.091319709801983,0.0030487361286302,336
"6","AUGLAIZE",2020-01-22,0.10596430228805,0.0035944751676101,287
"7","BELMONT",2020-01-22,0.094869619288702,0.0026781882868458,476
"8","BROWN",2020-01-22,0.10406831664759,0.0040171986014333,224
"9","BUTLER",2020-01-22,0.10669137119275,0.0014216882451129,1869
"10","CARROLL",2020-01-22,0.10312117095106,0.0049664127633606,175
"11","CHAMPAIGN",2020-01-22,0.10178837841809,0.003675884250326,238
"12","CLARK",2020-01-22,0.092191177892837,0.0018900461971857,952
"13","CLERMONT",2020-01-22,0.11368313038887,0.0019945307631078,819
"14","CLINTON",2020-01-22,0.098836089411312,0.0035006288710875,224
"15","COLUMBIANA",2020-01-22,0.095025087198437,0.0022246043409432,658
"16","COSHOCTON",2020-01-22,0.095483775682506,0.0039809024421816,231
"17","CRAWFORD",2020-01-22,0.086305248149197,0.0029947324400543,336
"18","CUYAHOGA",2020-01-22,0.086251860011072,0.00065404172634458,8108
"19","DARKE",2020-01-22,0.11483177257095,0.0034868801355721,364
"20","DEFIANCE",2020-01-22,0.093292900078852,0.0036947477795804,252
"21","DELAWARE",2020-01-22,0.13215377480724,0.0027224560545273,616
"22","ERIE",2020-01-22,0.090168184016779,0.0024423271916454,483
"23","FAIRFIELD",2020-01-22,0.10252274464498,0.0021417015044335,651
"24","FAYETTE",2020-01-22,0.09294217323706,0.0039608170052602,182
"25","FRANKLIN",2020-01-22,0.091768018142548,0.00074886607715952,6194
"26","FULTON",2020-01-22,0.10761963943528,0.0037922654847037,217
"27","GALLIA",2020-01-22,0.10465707378995,0.0045119725245881,175
"28","GEAUGA",2020-01-22,0.11205859868241,0.0032643875873805,447
"29","GREENE",2020-01-22,0.10493928607595,0.0020828582114243,784
"30","GUERNSEY",2020-01-22,0.091161913704559,0.0034328087218067,245
"31","HAMILTON",2020-01-22,0.098023085328408,0.00088468968787743,4879
"32","HANCOCK",2020-01-22,0.10646035531732,0.0027452034321494,434
