"COUNTY","DATE","POPULATION","CUMDEATHS","NEWDEATHS","Online_Only","Hybrid","On_Premises","major_teaching","major_teaching_prop","Population.density","NCHS.Urban.Rural.Status","major_opendate","opendate_prop"
"ADAMS",2020-01-23,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-24,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-25,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-26,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-27,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-28,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-29,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-30,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-01-31,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-01,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-02,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-03,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-04,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-05,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-06,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-07,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-08,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-09,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-10,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-11,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-12,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-13,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-14,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-15,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-16,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-17,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-18,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-19,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-20,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-21,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-22,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-23,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-24,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-25,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-26,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-27,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-28,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-02-29,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-01,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-03-02,27960,0,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
